CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12457,66.0,7.0,2363.23,1,Regular Customers
12458,71.0,2.0,947.4,1,Regular Customers
12461,94.0,2.0,826.88,1,Regular Customers
12462,19.0,2.0,1189.59,1,Regular Customers
12463,53.0,4.0,1344.78,1,Regular Customers
12464,10.0,8.0,1212.05,1,Regular Customers
12465,17.0,2.0,742.1899999999999,1,Regular Customers
12468,188.0,2.0,729.5400000000001,0,At-Risk Customers
12471,2.0,30.0,19824.05,2,VIP Customers
12472,32.0,7.0,6572.11,1,Regular Customers
12473,29.0,5.0,3938.5499999999997,1,Regular Customers
12474,17.0,18.0,7375.79,2,VIP Customers
12475,54.0,1.0,723.38,1,Regular Customers
12476,16.0,11.0,6816.42,2,VIP Customers
12477,23.0,6.0,13219.74,2,VIP Customers
12478,4.0,1.0,680.99,1,Regular Customers
12479,11.0,1.0,527.2,1,Regular Customers
12480,28.0,4.0,3281.63,1,Regular Customers
12481,23.0,10.0,5596.32,1,Regular Customers
12483,17.0,8.0,2484.98,1,Regular Customers
12484,33.0,6.0,4541.72,1,Regular Customers
12488,10.0,3.0,1298.66,1,Regular Customers
12489,336.0,1.0,334.93,0,At-Risk Customers
12490,5.0,10.0,5417.93,1,Regular Customers
12491,39.0,1.0,460.40000000000003,1,Regular Customers
12492,63.0,2.0,263.21000000000004,1,Regular Customers
12493,166.0,2.0,433.74,0,At-Risk Customers
12494,16.0,7.0,1246.1000000000001,1,Regular Customers
12497,82.0,1.0,1043.1,1,Regular Customers
12498,21.0,3.0,403.70000000000005,1,Regular Customers
12500,23.0,11.0,4257.82,1,Regular Customers
12501,337.0,1.0,2169.39,0,At-Risk Customers
12502,96.0,5.0,3723.87,1,Regular Customers
12504,18.0,2.0,482.04999999999995,1,Regular Customers
12506,233.0,1.0,73.5,0,At-Risk Customers
12507,134.0,3.0,1304.81,1,Regular Customers
12508,26.0,2.0,398.27,1,Regular Customers
12509,284.0,1.0,176.5,0,At-Risk Customers
12510,143.0,2.0,982.5699999999999,1,Regular Customers
12512,66.0,2.0,138.03,1,Regular Customers
12513,113.0,1.0,612.29,1,Regular Customers
12514,267.0,1.0,1017.68,0,At-Risk Customers
12515,353.0,1.0,383.7,0,At-Risk Customers
12516,78.0,2.0,1312.06,1,Regular Customers
12517,28.0,5.0,2502.84,1,Regular Customers
12518,1.0,5.0,2056.89,1,Regular Customers
12519,64.0,1.0,340.84,1,Regular Customers
12520,79.0,5.0,2634.26,1,Regular Customers
12521,143.0,1.0,599.68,0,At-Risk Customers
12522,39.0,2.0,192.72,1,Regular Customers
12523,19.0,11.0,1789.77,1,Regular Customers
12524,9.0,8.0,4485.72,1,Regular Customers
12526,1.0,3.0,1316.66,1,Regular Customers
12527,82.0,3.0,348.71000000000004,1,Regular Customers
12528,9.0,6.0,1933.48,1,Regular Customers
12530,60.0,4.0,1662.28,1,Regular Customers
12531,15.0,1.0,125.22,1,Regular Customers
12532,30.0,1.0,349.83000000000004,1,Regular Customers
12534,131.0,1.0,1089.18,1,Regular Customers
12535,92.0,2.0,716.35,1,Regular Customers
12536,43.0,3.0,12601.830000000002,2,VIP Customers
12538,29.0,1.0,363.95,1,Regular Customers
12539,22.0,4.0,5568.35,1,Regular Customers
12540,20.0,17.0,13400.24,2,VIP Customers
12541,30.0,3.0,981.18,1,Regular Customers
12544,36.0,1.0,372.7,1,Regular Customers
12545,75.0,2.0,1000.39,1,Regular Customers
12546,47.0,2.0,1161.5,1,Regular Customers
12547,198.0,2.0,207.79999999999998,0,At-Risk Customers
12548,166.0,1.0,95.19999999999999,0,At-Risk Customers
12550,79.0,1.0,964.83,1,Regular Customers
12551,358.0,1.0,168.0,0,At-Risk Customers
12552,39.0,2.0,437.82,1,Regular Customers
12553,8.0,10.0,3692.28,1,Regular Customers
12556,50.0,2.0,603.71,1,Regular Customers
12557,16.0,5.0,11990.960000000001,2,VIP Customers
12558,8.0,1.0,269.96,1,Regular Customers
12559,311.0,2.0,561.71,0,At-Risk Customers
12560,5.0,3.0,2134.01,1,Regular Customers
12561,303.0,1.0,238.85,0,At-Risk Customers
12562,8.0,7.0,3781.7400000000002,1,Regular Customers
12564,261.0,1.0,456.9,0,At-Risk Customers
12565,289.0,1.0,145.92,0,At-Risk Customers
12566,86.0,1.0,351.65,1,Regular Customers
12567,23.0,10.0,9401.28,2,VIP Customers
12569,2.0,30.0,4124.69,2,VIP Customers
12571,40.0,2.0,519.61,1,Regular Customers
12572,9.0,2.0,1020.42,1,Regular Customers
12573,227.0,1.0,160.54000000000002,0,At-Risk Customers
12574,316.0,1.0,218.45,0,At-Risk Customers
12576,36.0,5.0,1315.83,1,Regular Customers
12577,35.0,3.0,657.8,1,Regular Customers
12578,21.0,2.0,2794.51,1,Regular Customers
12579,78.0,1.0,440.42,1,Regular Customers
12580,247.0,1.0,415.7,0,At-Risk Customers
12581,40.0,1.0,197.71,1,Regular Customers
12582,239.0,2.0,511.36,0,At-Risk Customers
12583,3.0,15.0,7281.38,2,VIP Customers
12584,4.0,9.0,2338.15,1,Regular Customers
12585,234.0,2.0,2040.1,0,At-Risk Customers
12586,17.0,1.0,196.94000000000003,1,Regular Customers
12587,8.0,1.0,144.0,1,Regular Customers
12588,39.0,1.0,214.89999999999998,1,Regular Customers
12589,29.0,2.0,646.68,1,Regular Customers
12590,211.0,2.0,9864.26,0,At-Risk Customers
12591,317.0,1.0,452.84999999999997,0,At-Risk Customers
12592,92.0,2.0,437.6,1,Regular Customers
12593,109.0,3.0,418.09999999999997,1,Regular Customers
12594,38.0,10.0,3338.2200000000003,1,Regular Customers
12596,51.0,2.0,618.27,1,Regular Customers
12597,19.0,4.0,3811.22,1,Regular Customers
12598,10.0,8.0,3023.08,1,Regular Customers
12599,29.0,7.0,1032.58,1,Regular Customers
12600,29.0,10.0,2599.04,1,Regular Customers
12601,190.0,5.0,577.0600000000001,0,At-Risk Customers
12602,59.0,1.0,153.12,1,Regular Customers
12603,22.0,1.0,739.1999999999999,1,Regular Customers
12604,79.0,2.0,254.18,1,Regular Customers
12607,60.0,1.0,1579.51,1,Regular Customers
12609,78.0,3.0,1126.85,1,Regular Customers
12610,23.0,5.0,2099.54,1,Regular Customers
12611,52.0,1.0,1193.32,1,Regular Customers
12612,74.0,1.0,704.0400000000001,1,Regular Customers
12613,57.0,5.0,3344.38,1,Regular Customers
12614,278.0,1.0,315.6,0,At-Risk Customers
12615,2.0,4.0,2291.19,1,Regular Customers
12616,95.0,2.0,713.3,1,Regular Customers
12617,29.0,1.0,355.53,1,Regular Customers
12618,22.0,1.0,177.31,1,Regular Customers
12619,16.0,9.0,3641.24,1,Regular Customers
12620,15.0,3.0,1339.41,1,Regular Customers
12621,2.0,20.0,13689.67,2,VIP Customers
12622,232.0,1.0,180.1,0,At-Risk Customers
12623,276.0,1.0,305.1,0,At-Risk Customers
12624,106.0,2.0,641.13,1,Regular Customers
12625,212.0,2.0,2683.82,0,At-Risk Customers
12626,23.0,9.0,6620.48,1,Regular Customers
12627,11.0,7.0,4478.53,1,Regular Customers
12628,4.0,3.0,786.46,1,Regular Customers
12630,10.0,2.0,1270.88,1,Regular Customers
12631,57.0,1.0,640.5,1,Regular Customers
12633,59.0,4.0,2163.98,1,Regular Customers
12635,90.0,2.0,1689.18,1,Regular Customers
12637,67.0,8.0,6021.9,1,Regular Customers
12638,33.0,1.0,671.69,1,Regular Customers
12639,239.0,1.0,486.1,0,At-Risk Customers
12640,24.0,3.0,1174.58,1,Regular Customers
12641,115.0,1.0,185.9,1,Regular Customers
12642,25.0,3.0,1013.26,1,Regular Customers
12643,128.0,6.0,3344.64,1,Regular Customers
12644,130.0,1.0,477.91,1,Regular Customers
12645,34.0,4.0,1775.18,1,Regular Customers
12646,5.0,2.0,1346.97,1,Regular Customers
12647,22.0,12.0,3722.82,1,Regular Customers
12648,155.0,1.0,318.05,0,At-Risk Customers
12649,107.0,3.0,623.51,1,Regular Customers
12650,3.0,1.0,314.44,1,Regular Customers
12651,335.0,1.0,114.0,0,At-Risk Customers
12652,331.0,1.0,919.98,0,At-Risk Customers
12653,149.0,2.0,2209.85,1,Regular Customers
12654,11.0,5.0,601.98,1,Regular Customers
12656,17.0,5.0,4051.17,1,Regular Customers
12657,11.0,4.0,1643.18,1,Regular Customers
12658,19.0,1.0,686.05,1,Regular Customers
12659,30.0,1.0,91.68,1,Regular Customers
12660,11.0,1.0,245.1,1,Regular Customers
12662,1.0,11.0,3849.78,1,Regular Customers
12664,8.0,9.0,4881.88,1,Regular Customers
12665,325.0,1.0,63.0,0,At-Risk Customers
12667,58.0,1.0,620.13,1,Regular Customers
12668,12.0,4.0,3807.15,1,Regular Customers
12669,151.0,3.0,2744.0299999999997,1,Regular Customers
12670,10.0,5.0,2996.05,1,Regular Customers
12672,330.0,1.0,225.89999999999998,0,At-Risk Customers
12673,5.0,2.0,610.52,1,Regular Customers
12674,39.0,4.0,1970.6,1,Regular Customers
12676,25.0,6.0,1331.39,1,Regular Customers
12678,42.0,12.0,17628.46,2,VIP Customers
12679,59.0,4.0,1113.02,1,Regular Customers
12680,1.0,4.0,862.81,1,Regular Customers
12681,15.0,22.0,13787.54,2,VIP Customers
12682,4.0,30.0,12288.22,2,VIP Customers
12683,4.0,15.0,8476.57,2,VIP Customers
12684,8.0,7.0,2283.63,1,Regular Customers
12685,28.0,6.0,2863.08,1,Regular Customers
12686,369.0,1.0,89.14,0,At-Risk Customers
12688,114.0,1.0,4873.8099999999995,1,Regular Customers
12689,26.0,2.0,1247.61,1,Regular Customers
12690,206.0,1.0,389.01,0,At-Risk Customers
12691,28.0,6.0,1035.8,1,Regular Customers
12693,127.0,4.0,855.91,1,Regular Customers
12694,70.0,2.0,869.67,1,Regular Customers
12695,7.0,4.0,582.1,1,Regular Customers
12697,29.0,3.0,957.59,1,Regular Customers
12700,8.0,4.0,4939.99,1,Regular Customers
12701,80.0,2.0,797.71,1,Regular Customers
12702,20.0,1.0,219.0,1,Regular Customers
12703,71.0,1.0,283.55,1,Regular Customers
12704,7.0,8.0,2340.84,1,Regular Customers
12705,15.0,9.0,6868.29,1,Regular Customers
12707,292.0,1.0,603.42,0,At-Risk Customers
12708,30.0,10.0,2712.91,1,Regular Customers
12709,15.0,15.0,9736.52,2,VIP Customers
12710,97.0,3.0,1149.02,1,Regular Customers
12712,29.0,13.0,4396.13,1,Regular Customers
12713,1.0,1.0,848.55,1,Regular Customers
12714,9.0,5.0,4708.86,1,Regular Customers
12715,106.0,1.0,353.86,1,Regular Customers
12716,4.0,2.0,1053.49,1,Regular Customers
12717,151.0,2.0,1030.98,0,At-Risk Customers
12718,71.0,1.0,238.25,1,Regular Customers
12719,5.0,2.0,644.95,1,Regular Customers
12720,3.0,25.0,5781.73,2,VIP Customers
12721,32.0,6.0,2656.13,1,Regular Customers
12722,85.0,4.0,997.63,1,Regular Customers
12723,4.0,5.0,725.07,1,Regular Customers
12724,5.0,4.0,1031.41,1,Regular Customers
12725,369.0,1.0,427.8,0,At-Risk Customers
12726,28.0,7.0,2609.1,1,Regular Customers
12727,11.0,7.0,3980.7,1,Regular Customers
12728,71.0,4.0,836.33,1,Regular Customers
12729,114.0,1.0,453.01,1,Regular Customers
12731,24.0,12.0,18895.91,2,VIP Customers
12732,180.0,1.0,236.26000000000002,0,At-Risk Customers
12733,234.0,1.0,383.95,0,At-Risk Customers
12734,353.0,1.0,110.39999999999999,0,At-Risk Customers
12735,315.0,2.0,779.5699999999999,0,At-Risk Customers
12736,333.0,1.0,234.0,0,At-Risk Customers
12738,369.0,1.0,155.35,0,At-Risk Customers
12739,78.0,2.0,1013.04,1,Regular Customers
12740,64.0,1.0,427.6,1,Regular Customers
12743,134.0,2.0,546.43,1,Regular Customers
12744,52.0,7.0,19880.99570000001,2,VIP Customers
12747,2.0,11.0,4196.01,1,Regular Customers
12748,1.0,30.0,19880.99570000001,2,VIP Customers
12749,4.0,5.0,4090.88,1,Regular Customers
12750,129.0,1.0,275.88,1,Regular Customers
12752,81.0,1.0,4366.78,1,Regular Customers
12753,23.0,6.0,19880.99570000001,2,VIP Customers
12754,236.0,3.0,3010.74,0,At-Risk Customers
12755,281.0,2.0,3811.95,0,At-Risk Customers
12756,87.0,1.0,112.07999999999998,1,Regular Customers
12757,16.0,13.0,7857.1,2,VIP Customers
12758,117.0,2.0,2791.59,1,Regular Customers
12759,52.0,3.0,1531.44,1,Regular Customers
12762,8.0,2.0,1898.52,1,Regular Customers
12763,138.0,2.0,494.08,1,Regular Customers
12764,317.0,1.0,1693.88,0,At-Risk Customers
12766,4.0,7.0,6989.63,1,Regular Customers
12769,239.0,1.0,1143.6,0,At-Risk Customers
12770,211.0,1.0,1351.45,0,At-Risk Customers
12772,60.0,1.0,892.47,1,Regular Customers
12775,17.0,5.0,1386.04,1,Regular Customers
12778,20.0,6.0,822.23,1,Regular Customers
12779,38.0,8.0,3981.36,1,Regular Customers
12781,64.0,2.0,826.74,1,Regular Customers
12782,5.0,5.0,2330.92,1,Regular Customers
12783,2.0,6.0,2225.91,1,Regular Customers
12784,9.0,2.0,574.42,1,Regular Customers
12785,364.0,1.0,311.95,0,At-Risk Customers
12787,10.0,3.0,463.66,1,Regular Customers
12789,65.0,1.0,91.85,1,Regular Customers
12790,192.0,1.0,324.92,0,At-Risk Customers
12791,369.0,1.0,192.60000000000002,0,At-Risk Customers
12792,257.0,1.0,400.53999999999996,0,At-Risk Customers
12793,335.0,2.0,545.48,0,At-Risk Customers
12794,53.0,2.0,860.41,1,Regular Customers
12795,19.0,1.0,430.48,1,Regular Customers
12797,366.0,1.0,254.03,0,At-Risk Customers
12798,10.0,3.0,6977.04,1,Regular Customers
12802,187.0,1.0,427.58,0,At-Risk Customers
12808,37.0,3.0,483.65000000000003,1,Regular Customers
12809,178.0,1.0,489.31,0,At-Risk Customers
12811,261.0,3.0,514.85,0,At-Risk Customers
12812,45.0,1.0,229.64000000000001,1,Regular Customers
12814,102.0,1.0,125.92,1,Regular Customers
12815,148.0,2.0,1063.46,0,At-Risk Customers
12816,96.0,2.0,572.2,1,Regular Customers
12817,281.0,1.0,166.04,0,At-Risk Customers
12818,262.0,1.0,1542.08,0,At-Risk Customers
12820,3.0,4.0,942.34,1,Regular Customers
12821,214.0,1.0,92.72,0,At-Risk Customers
12822,71.0,2.0,948.88,1,Regular Customers
12823,75.0,5.0,1759.5,1,Regular Customers
12824,60.0,1.0,397.12,1,Regular Customers
12826,3.0,7.0,1474.72,1,Regular Customers
12827,6.0,3.0,430.15000000000003,1,Regular Customers
12828,3.0,6.0,1018.71,1,Regular Customers
12829,337.0,2.0,293.0,0,At-Risk Customers
12830,38.0,6.0,6814.64,1,Regular Customers
12831,262.0,1.0,215.05,0,At-Risk Customers
12832,32.0,2.0,383.03,1,Regular Customers
12833,145.0,1.0,417.38,0,At-Risk Customers
12834,283.0,1.0,312.38,0,At-Risk Customers
12836,59.0,4.0,2612.86,1,Regular Customers
12837,173.0,1.0,134.1,0,At-Risk Customers
12838,34.0,2.0,683.13,1,Regular Customers
12839,3.0,14.0,5591.42,2,VIP Customers
12840,144.0,4.0,2726.77,1,Regular Customers
12841,5.0,25.0,4022.35,2,VIP Customers
12842,70.0,2.0,1118.99,1,Regular Customers
12843,66.0,8.0,1702.26,1,Regular Customers
12844,29.0,2.0,325.96000000000004,1,Regular Customers
12845,267.0,4.0,354.09,0,At-Risk Customers
12847,22.0,1.0,871.54,1,Regular Customers
12849,31.0,2.0,1050.8899999999999,1,Regular Customers
12851,97.0,1.0,135.18,1,Regular Customers
12852,295.0,1.0,311.55,0,At-Risk Customers
12853,135.0,6.0,1957.1000000000001,1,Regular Customers
12854,79.0,3.0,1324.5,1,Regular Customers
12855,369.0,1.0,38.1,0,At-Risk Customers
12856,8.0,6.0,2179.93,1,Regular Customers
12857,211.0,2.0,1106.4,0,At-Risk Customers
12863,52.0,1.0,521.2,1,Regular Customers
12864,138.0,1.0,147.12,0,At-Risk Customers
12865,26.0,2.0,1568.23,1,Regular Customers
12866,283.0,1.0,559.12,0,At-Risk Customers
12867,26.0,7.0,4036.82,1,Regular Customers
12868,186.0,6.0,1607.0600000000002,0,At-Risk Customers
12871,84.0,2.0,380.64,1,Regular Customers
12872,327.0,2.0,599.97,0,At-Risk Customers
12873,282.0,1.0,374.0,0,At-Risk Customers
12875,143.0,2.0,343.2300000000001,0,At-Risk Customers
12876,58.0,2.0,2218.02,1,Regular Customers
12877,4.0,12.0,1535.77,1,Regular Customers
12878,236.0,2.0,854.99,0,At-Risk Customers
12879,45.0,3.0,573.22,1,Regular Customers
12881,276.0,1.0,298.0,0,At-Risk Customers
12882,9.0,2.0,1463.04,1,Regular Customers
12883,25.0,4.0,703.47,1,Regular Customers
12884,88.0,1.0,309.05,1,Regular Customers
12885,63.0,3.0,1175.22,1,Regular Customers
12886,68.0,2.0,1378.4,1,Regular Customers
12888,214.0,2.0,354.12,0,At-Risk Customers
12890,24.0,1.0,380.46999999999997,1,Regular Customers
12891,186.0,3.0,331.0,0,At-Risk Customers
12893,31.0,1.0,188.14,1,Regular Customers
12895,42.0,2.0,372.8,1,Regular Customers
12897,205.0,2.0,216.5,0,At-Risk Customers
12901,9.0,28.0,17654.54,2,VIP Customers
12902,265.0,1.0,138.68,0,At-Risk Customers
12904,18.0,2.0,509.58,1,Regular Customers
12906,12.0,5.0,2919.81,1,Regular Customers
12908,176.0,2.0,750.0,0,At-Risk Customers
12909,40.0,5.0,2178.67,1,Regular Customers
12910,23.0,8.0,3075.04,1,Regular Customers
12912,3.0,5.0,1662.3,1,Regular Customers
12913,5.0,5.0,2483.63,1,Regular Customers
12915,149.0,2.0,363.65,0,At-Risk Customers
12916,139.0,4.0,3006.15,1,Regular Customers
12917,128.0,1.0,594.0,1,Regular Customers
12919,8.0,6.0,1335.19,1,Regular Customers
12920,17.0,1.0,164.23,1,Regular Customers
12921,9.0,30.0,16587.09,2,VIP Customers
12922,161.0,1.0,405.38,0,At-Risk Customers
12923,64.0,1.0,176.97,1,Regular Customers
12924,88.0,4.0,933.7,1,Regular Customers
12925,5.0,2.0,694.05,1,Regular Customers
12928,35.0,5.0,2062.7000000000003,1,Regular Customers
12929,312.0,1.0,117.85,0,At-Risk Customers
12930,78.0,2.0,415.8,1,Regular Customers
12931,22.0,15.0,19880.99570000001,2,VIP Customers
12933,24.0,3.0,607.53,1,Regular Customers
12935,2.0,7.0,2160.7,1,Regular Customers
12936,17.0,4.0,1063.9,1,Regular Customers
12937,15.0,4.0,1504.27,1,Regular Customers
12938,26.0,1.0,114.14,1,Regular Customers
12939,64.0,8.0,11581.8,2,VIP Customers
12940,55.0,2.0,913.54,1,Regular Customers
12942,131.0,3.0,683.9,1,Regular Customers
12944,36.0,2.0,604.51,1,Regular Customers
12945,288.0,1.0,462.95,0,At-Risk Customers
12947,144.0,6.0,1603.99,1,Regular Customers
12948,16.0,7.0,2064.95,1,Regular Customers
12949,31.0,8.0,4167.22,1,Regular Customers
12950,2.0,3.0,1843.0,1,Regular Customers
12951,9.0,6.0,1064.07,1,Regular Customers
12952,6.0,4.0,1387.79,1,Regular Customers
12953,10.0,1.0,329.85,1,Regular Customers
12955,1.0,11.0,4757.16,1,Regular Customers
12956,306.0,1.0,108.07,0,At-Risk Customers
12957,10.0,8.0,4017.54,1,Regular Customers
12962,7.0,2.0,266.39,1,Regular Customers
12963,8.0,8.0,1856.63,1,Regular Customers
12965,89.0,1.0,771.91,1,Regular Customers
12966,10.0,1.0,160.18,1,Regular Customers
12967,358.0,2.0,1660.9,0,At-Risk Customers
12968,112.0,1.0,135.95,1,Regular Customers
12970,7.0,4.0,452.24,1,Regular Customers
12971,4.0,30.0,11189.91,2,VIP Customers
12974,198.0,1.0,144.8,0,At-Risk Customers
12976,212.0,1.0,738.6,0,At-Risk Customers
12977,156.0,1.0,39.239999999999995,0,At-Risk Customers
12980,158.0,9.0,7374.900000000001,2,VIP Customers
12981,30.0,2.0,372.21999999999997,1,Regular Customers
12982,243.0,1.0,390.54,0,At-Risk Customers
12984,19.0,1.0,97.5,1,Regular Customers
12985,1.0,2.0,1239.38,1,Regular Customers
12987,74.0,2.0,558.7,1,Regular Customers
12988,292.0,1.0,535.32,0,At-Risk Customers
12989,3.0,15.0,6924.110000000001,2,VIP Customers
12990,31.0,3.0,409.5,1,Regular Customers
12991,23.0,2.0,503.76,1,Regular Customers
12993,23.0,4.0,414.76,1,Regular Customers
12994,4.0,3.0,974.4200000000001,1,Regular Customers
12995,85.0,1.0,211.32,1,Regular Customers
12997,22.0,4.0,1226.89,1,Regular Customers
12999,196.0,3.0,455.88,0,At-Risk Customers
13000,107.0,3.0,534.85,1,Regular Customers
13001,4.0,13.0,9818.82,2,VIP Customers
13002,318.0,1.0,120.94999999999999,0,At-Risk Customers
13003,106.0,3.0,149.05,1,Regular Customers
13004,12.0,18.0,5655.91,2,VIP Customers
13005,174.0,2.0,513.7,0,At-Risk Customers
13006,56.0,1.0,81.57,1,Regular Customers
13008,323.0,1.0,229.46999999999997,0,At-Risk Customers
13011,369.0,1.0,50.550000000000004,0,At-Risk Customers
13012,9.0,8.0,1661.8400000000001,1,Regular Customers
13013,1.0,13.0,4810.9400000000005,2,VIP Customers
13014,11.0,10.0,3466.2799999999997,1,Regular Customers
13015,53.0,5.0,3346.28,1,Regular Customers
13016,73.0,3.0,789.89,1,Regular Customers
13017,7.0,1.0,204.0,1,Regular Customers
13018,16.0,28.0,7277.7,2,VIP Customers
13021,4.0,9.0,2616.38,1,Regular Customers
13023,64.0,2.0,689.9,1,Regular Customers
13026,1.0,5.0,975.36,1,Regular Customers
13027,114.0,6.0,6912.0,1,Regular Customers
13028,23.0,2.0,661.3199999999999,1,Regular Customers
13029,31.0,3.0,1247.5,1,Regular Customers
13030,11.0,2.0,799.48,1,Regular Customers
13032,52.0,2.0,1010.18,1,Regular Customers
13033,357.0,1.0,190.55,0,At-Risk Customers
13034,55.0,2.0,642.77,1,Regular Customers
13035,74.0,2.0,921.88,1,Regular Customers
13037,138.0,3.0,881.07,1,Regular Customers
13038,80.0,3.0,908.46,1,Regular Customers
13040,9.0,2.0,676.99,1,Regular Customers
13043,273.0,1.0,516.42,0,At-Risk Customers
13044,291.0,1.0,560.47,0,At-Risk Customers
13045,99.0,1.0,305.28000000000003,1,Regular Customers
13046,31.0,2.0,629.31,1,Regular Customers
13047,32.0,10.0,3237.54,1,Regular Customers
13048,14.0,4.0,1835.91,1,Regular Customers
13049,64.0,2.0,656.6800000000001,1,Regular Customers
13050,15.0,17.0,5836.86,2,VIP Customers
13052,212.0,1.0,348.15000000000003,0,At-Risk Customers
13055,78.0,3.0,1214.41,1,Regular Customers
13058,25.0,3.0,271.40000000000003,1,Regular Customers
13059,250.0,1.0,183.4,0,At-Risk Customers
13060,254.0,1.0,307.53,0,At-Risk Customers
13061,72.0,1.0,248.61,1,Regular Customers
13062,191.0,1.0,346.98,0,At-Risk Customers
13064,13.0,4.0,1119.49,1,Regular Customers
13065,369.0,1.0,205.86,0,At-Risk Customers
