CustomerID,Recency,Frequency,Monetary,Cluster
12446,58.0,1.0,1002.3100000000001,1
12447,243.0,1.0,476.49,0
12448,44.0,1.0,449.45,1
12449,22.0,4.0,4067.29,1
12450,156.0,2.0,197.88,0
12451,11.0,5.0,9035.52,1
12452,17.0,2.0,430.57,1
12453,134.0,1.0,707.09,1
12454,56.0,1.0,3528.34,1
12455,73.0,6.0,2466.86,1
12456,44.0,3.0,3181.04,1
12457,66.0,7.0,2363.23,1
12458,71.0,2.0,947.4,1
12461,94.0,2.0,826.88,1
12462,19.0,2.0,1189.59,1
12463,53.0,4.0,1344.78,1
12464,10.0,8.0,1212.05,1
12465,17.0,2.0,742.1899999999999,1
12468,188.0,2.0,729.5400000000001,0
12471,2.0,30.0,19824.05,2
12472,32.0,7.0,6572.11,1
12473,29.0,5.0,3938.5499999999997,1
12474,17.0,18.0,7375.79,2
12475,54.0,1.0,723.38,1
12476,16.0,11.0,6816.42,2
12477,23.0,6.0,13219.74,2
12478,4.0,1.0,680.99,1
12479,11.0,1.0,527.2,1
12480,28.0,4.0,3281.63,1
12481,23.0,10.0,5596.32,1
12483,17.0,8.0,2484.98,1
12484,33.0,6.0,4541.72,1
12488,10.0,3.0,1298.66,1
12489,336.0,1.0,334.93,0
12490,5.0,10.0,5417.93,1
12491,39.0,1.0,460.40000000000003,1
12492,63.0,2.0,263.21000000000004,1
12493,166.0,2.0,433.74,0
12494,16.0,7.0,1246.1000000000001,1
12497,82.0,1.0,1043.1,1
12498,21.0,3.0,403.70000000000005,1
12500,23.0,11.0,4257.82,1
12501,337.0,1.0,2169.39,0
12502,96.0,5.0,3723.87,1
12504,18.0,2.0,482.04999999999995,1
12506,233.0,1.0,73.5,0
12507,134.0,3.0,1304.81,1
12508,26.0,2.0,398.27,1
12509,284.0,1.0,176.5,0
12510,143.0,2.0,982.5699999999999,1
12512,66.0,2.0,138.03,1
12513,113.0,1.0,612.29,1
12514,267.0,1.0,1017.68,0
12515,353.0,1.0,383.7,0
12516,78.0,2.0,1312.06,1
12517,28.0,5.0,2502.84,1
12518,1.0,5.0,2056.89,1
12519,64.0,1.0,340.84,1
12520,79.0,5.0,2634.26,1
12521,143.0,1.0,599.68,0
12522,39.0,2.0,192.72,1
12523,19.0,11.0,1789.77,1
12524,9.0,8.0,4485.72,1
12526,1.0,3.0,1316.66,1
12527,82.0,3.0,348.71000000000004,1
12528,9.0,6.0,1933.48,1
12530,60.0,4.0,1662.28,1
12531,15.0,1.0,125.22,1
12532,30.0,1.0,349.83000000000004,1
12534,131.0,1.0,1089.18,1
12535,92.0,2.0,716.35,1
12536,43.0,3.0,12601.830000000002,2
12538,29.0,1.0,363.95,1
12539,22.0,4.0,5568.35,1
12540,20.0,17.0,13400.24,2
12541,30.0,3.0,981.18,1
12544,36.0,1.0,372.7,1
12545,75.0,2.0,1000.39,1
12546,47.0,2.0,1161.5,1
12547,198.0,2.0,207.79999999999998,0
12548,166.0,1.0,95.19999999999999,0
12550,79.0,1.0,964.83,1
12551,358.0,1.0,168.0,0
12552,39.0,2.0,437.82,1
12553,8.0,10.0,3692.28,1
12556,50.0,2.0,603.71,1
12557,16.0,5.0,11990.960000000001,2
12558,8.0,1.0,269.96,1
12559,311.0,2.0,561.71,0
12560,5.0,3.0,2134.01,1
12561,303.0,1.0,238.85,0
12562,8.0,7.0,3781.7400000000002,1
12564,261.0,1.0,456.9,0
12565,289.0,1.0,145.92,0
12566,86.0,1.0,351.65,1
12567,23.0,10.0,9401.28,2
12569,2.0,30.0,4124.69,2
12571,40.0,2.0,519.61,1
12572,9.0,2.0,1020.42,1
12573,227.0,1.0,160.54000000000002,0
12574,316.0,1.0,218.45,0
12576,36.0,5.0,1315.83,1
12577,35.0,3.0,657.8,1
12578,21.0,2.0,2794.51,1
12579,78.0,1.0,440.42,1
12580,247.0,1.0,415.7,0
12581,40.0,1.0,197.71,1
12582,239.0,2.0,511.36,0
12583,3.0,15.0,7281.38,2
12584,4.0,9.0,2338.15,1
12585,234.0,2.0,2040.1,0
12586,17.0,1.0,196.94000000000003,1
12587,8.0,1.0,144.0,1
12588,39.0,1.0,214.89999999999998,1
12589,29.0,2.0,646.68,1
12590,211.0,2.0,9864.26,0
12591,317.0,1.0,452.84999999999997,0
12592,92.0,2.0,437.6,1
12593,109.0,3.0,418.09999999999997,1
12594,38.0,10.0,3338.2200000000003,1
12596,51.0,2.0,618.27,1
12597,19.0,4.0,3811.22,1
12598,10.0,8.0,3023.08,1
12599,29.0,7.0,1032.58,1
12600,29.0,10.0,2599.04,1
12601,190.0,5.0,577.0600000000001,0
12602,59.0,1.0,153.12,1
12603,22.0,1.0,739.1999999999999,1
12604,79.0,2.0,254.18,1
12607,60.0,1.0,1579.51,1
12609,78.0,3.0,1126.85,1
12610,23.0,5.0,2099.54,1
12611,52.0,1.0,1193.32,1
12612,74.0,1.0,704.0400000000001,1
12613,57.0,5.0,3344.38,1
12614,278.0,1.0,315.6,0
12615,2.0,4.0,2291.19,1
12616,95.0,2.0,713.3,1
12617,29.0,1.0,355.53,1
12618,22.0,1.0,177.31,1
12619,16.0,9.0,3641.24,1
12620,15.0,3.0,1339.41,1
12621,2.0,20.0,13689.67,2
12622,232.0,1.0,180.1,0
12623,276.0,1.0,305.1,0
12624,106.0,2.0,641.13,1
12625,212.0,2.0,2683.82,0
12626,23.0,9.0,6620.48,1
12627,11.0,7.0,4478.53,1
12628,4.0,3.0,786.46,1
12630,10.0,2.0,1270.88,1
12631,57.0,1.0,640.5,1
12633,59.0,4.0,2163.98,1
12635,90.0,2.0,1689.18,1
12637,67.0,8.0,6021.9,1
12638,33.0,1.0,671.69,1
12639,239.0,1.0,486.1,0
12640,24.0,3.0,1174.58,1
12641,115.0,1.0,185.9,1
12642,25.0,3.0,1013.26,1
12643,128.0,6.0,3344.64,1
12644,130.0,1.0,477.91,1
12645,34.0,4.0,1775.18,1
12646,5.0,2.0,1346.97,1
12647,22.0,12.0,3722.82,1
12648,155.0,1.0,318.05,0
12649,107.0,3.0,623.51,1
12650,3.0,1.0,314.44,1
12651,335.0,1.0,114.0,0
12652,331.0,1.0,919.98,0
12653,149.0,2.0,2209.85,1
12654,11.0,5.0,601.98,1
12656,17.0,5.0,4051.17,1
12657,11.0,4.0,1643.18,1
12658,19.0,1.0,686.05,1
12659,30.0,1.0,91.68,1
12660,11.0,1.0,245.1,1
12662,1.0,11.0,3849.78,1
12664,8.0,9.0,4881.88,1
12665,325.0,1.0,63.0,0
12667,58.0,1.0,620.13,1
12668,12.0,4.0,3807.15,1
12669,151.0,3.0,2744.0299999999997,1
12670,10.0,5.0,2996.05,1
12672,330.0,1.0,225.89999999999998,0
12673,5.0,2.0,610.52,1
12674,39.0,4.0,1970.6,1
12676,25.0,6.0,1331.39,1
12678,42.0,12.0,17628.46,2
12679,59.0,4.0,1113.02,1
12680,1.0,4.0,862.81,1
12681,15.0,22.0,13787.54,2
12682,4.0,30.0,12288.22,2
12683,4.0,15.0,8476.57,2
12684,8.0,7.0,2283.63,1
12685,28.0,6.0,2863.08,1
12686,369.0,1.0,89.14,0
12688,114.0,1.0,4873.8099999999995,1
12689,26.0,2.0,1247.61,1
12690,206.0,1.0,389.01,0
12691,28.0,6.0,1035.8,1
12693,127.0,4.0,855.91,1
12694,70.0,2.0,869.67,1
12695,7.0,4.0,582.1,1
12697,29.0,3.0,957.59,1
12700,8.0,4.0,4939.99,1
12701,80.0,2.0,797.71,1
12702,20.0,1.0,219.0,1
12703,71.0,1.0,283.55,1
12704,7.0,8.0,2340.84,1
12705,15.0,9.0,6868.29,1
12707,292.0,1.0,603.42,0
12708,30.0,10.0,2712.91,1
12709,15.0,15.0,9736.52,2
12710,97.0,3.0,1149.02,1
12712,29.0,13.0,4396.13,1
12713,1.0,1.0,848.55,1
12714,9.0,5.0,4708.86,1
12715,106.0,1.0,353.86,1
12716,4.0,2.0,1053.49,1
12717,151.0,2.0,1030.98,0
12718,71.0,1.0,238.25,1
12719,5.0,2.0,644.95,1
12720,3.0,25.0,5781.73,2
12721,32.0,6.0,2656.13,1
12722,85.0,4.0,997.63,1
12723,4.0,5.0,725.07,1
12724,5.0,4.0,1031.41,1
12725,369.0,1.0,427.8,0
12726,28.0,7.0,2609.1,1
12727,11.0,7.0,3980.7,1
12728,71.0,4.0,836.33,1
12729,114.0,1.0,453.01,1
12731,24.0,12.0,18895.91,2
12732,180.0,1.0,236.26000000000002,0
12733,234.0,1.0,383.95,0
12734,353.0,1.0,110.39999999999999,0
12735,315.0,2.0,779.5699999999999,0
12736,333.0,1.0,234.0,0
12738,369.0,1.0,155.35,0
12739,78.0,2.0,1013.04,1
12740,64.0,1.0,427.6,1
12743,134.0,2.0,546.43,1
12744,52.0,7.0,19880.99570000001,2
12747,2.0,11.0,4196.01,1
12748,1.0,30.0,19880.99570000001,2
12749,4.0,5.0,4090.88,1
12750,129.0,1.0,275.88,1
12752,81.0,1.0,4366.78,1
12753,23.0,6.0,19880.99570000001,2
12754,236.0,3.0,3010.74,0
12755,281.0,2.0,3811.95,0
12756,87.0,1.0,112.07999999999998,1
12757,16.0,13.0,7857.1,2
12758,117.0,2.0,2791.59,1
12759,52.0,3.0,1531.44,1
12762,8.0,2.0,1898.52,1
12763,138.0,2.0,494.08,1
12764,317.0,1.0,1693.88,0
12766,4.0,7.0,6989.63,1
12769,239.0,1.0,1143.6,0
12770,211.0,1.0,1351.45,0
12772,60.0,1.0,892.47,1
12775,17.0,5.0,1386.04,1
12778,20.0,6.0,822.23,1
12779,38.0,8.0,3981.36,1
12781,64.0,2.0,826.74,1
12782,5.0,5.0,2330.92,1
12783,2.0,6.0,2225.91,1
12784,9.0,2.0,574.42,1
12785,364.0,1.0,311.95,0
12787,10.0,3.0,463.66,1
12789,65.0,1.0,91.85,1
12790,192.0,1.0,324.92,0
12791,369.0,1.0,192.60000000000002,0
12792,257.0,1.0,400.53999999999996,0
12793,335.0,2.0,545.48,0
12794,53.0,2.0,860.41,1
12795,19.0,1.0,430.48,1
12797,366.0,1.0,254.03,0
12798,10.0,3.0,6977.04,1
12802,187.0,1.0,427.58,0
12808,37.0,3.0,483.65000000000003,1
12809,178.0,1.0,489.31,0
12811,261.0,3.0,514.85,0
12812,45.0,1.0,229.64000000000001,1
12814,102.0,1.0,125.92,1
12815,148.0,2.0,1063.46,0
12816,96.0,2.0,572.2,1
12817,281.0,1.0,166.04,0
12818,262.0,1.0,1542.08,0
12820,3.0,4.0,942.34,1
12821,214.0,1.0,92.72,0
12822,71.0,2.0,948.88,1
12823,75.0,5.0,1759.5,1
12824,60.0,1.0,397.12,1
12826,3.0,7.0,1474.72,1
12827,6.0,3.0,430.15000000000003,1
12828,3.0,6.0,1018.71,1
12829,337.0,2.0,293.0,0
12830,38.0,6.0,6814.64,1
12831,262.0,1.0,215.05,0
12832,32.0,2.0,383.03,1
12833,145.0,1.0,417.38,0
12834,283.0,1.0,312.38,0
12836,59.0,4.0,2612.86,1
12837,173.0,1.0,134.1,0
12838,34.0,2.0,683.13,1
12839,3.0,14.0,5591.42,2
12840,144.0,4.0,2726.77,1
12841,5.0,25.0,4022.35,2
12842,70.0,2.0,1118.99,1
12843,66.0,8.0,1702.26,1
12844,29.0,2.0,325.96000000000004,1
12845,267.0,4.0,354.09,0
12847,22.0,1.0,871.54,1
12849,31.0,2.0,1050.8899999999999,1
12851,97.0,1.0,135.18,1
12852,295.0,1.0,311.55,0
12853,135.0,6.0,1957.1000000000001,1
12854,79.0,3.0,1324.5,1
12855,369.0,1.0,38.1,0
12856,8.0,6.0,2179.93,1
12857,211.0,2.0,1106.4,0
12863,52.0,1.0,521.2,1
12864,138.0,1.0,147.12,0
12865,26.0,2.0,1568.23,1
12866,283.0,1.0,559.12,0
12867,26.0,7.0,4036.82,1
12868,186.0,6.0,1607.0600000000002,0
12871,84.0,2.0,380.64,1
12872,327.0,2.0,599.97,0
12873,282.0,1.0,374.0,0
12875,143.0,2.0,343.2300000000001,0
12876,58.0,2.0,2218.02,1
12877,4.0,12.0,1535.77,1
12878,236.0,2.0,854.99,0
12879,45.0,3.0,573.22,1
12881,276.0,1.0,298.0,0
12882,9.0,2.0,1463.04,1
12883,25.0,4.0,703.47,1
12884,88.0,1.0,309.05,1
12885,63.0,3.0,1175.22,1
12886,68.0,2.0,1378.4,1
12888,214.0,2.0,354.12,0
12890,24.0,1.0,380.46999999999997,1
12891,186.0,3.0,331.0,0
12893,31.0,1.0,188.14,1
12895,42.0,2.0,372.8,1
12897,205.0,2.0,216.5,0
12901,9.0,28.0,17654.54,2
12902,265.0,1.0,138.68,0
12904,18.0,2.0,509.58,1
12906,12.0,5.0,2919.81,1
12908,176.0,2.0,750.0,0
12909,40.0,5.0,2178.67,1
12910,23.0,8.0,3075.04,1
12912,3.0,5.0,1662.3,1
12913,5.0,5.0,2483.63,1
12915,149.0,2.0,363.65,0
12916,139.0,4.0,3006.15,1
12917,128.0,1.0,594.0,1
12919,8.0,6.0,1335.19,1
12920,17.0,1.0,164.23,1
12921,9.0,30.0,16587.09,2
12922,161.0,1.0,405.38,0
12923,64.0,1.0,176.97,1
12924,88.0,4.0,933.7,1
12925,5.0,2.0,694.05,1
12928,35.0,5.0,2062.7000000000003,1
12929,312.0,1.0,117.85,0
12930,78.0,2.0,415.8,1
12931,22.0,15.0,19880.99570000001,2
12933,24.0,3.0,607.53,1
12935,2.0,7.0,2160.7,1
12936,17.0,4.0,1063.9,1
12937,15.0,4.0,1504.27,1
12938,26.0,1.0,114.14,1
12939,64.0,8.0,11581.8,2
12940,55.0,2.0,913.54,1
12942,131.0,3.0,683.9,1
12944,36.0,2.0,604.51,1
12945,288.0,1.0,462.95,0
12947,144.0,6.0,1603.99,1
12948,16.0,7.0,2064.95,1
12949,31.0,8.0,4167.22,1
12950,2.0,3.0,1843.0,1
12951,9.0,6.0,1064.07,1
12952,6.0,4.0,1387.79,1
12953,10.0,1.0,329.85,1
12955,1.0,11.0,4757.16,1
12956,306.0,1.0,108.07,0
12957,10.0,8.0,4017.54,1
12962,7.0,2.0,266.39,1
12963,8.0,8.0,1856.63,1
12965,89.0,1.0,771.91,1
12966,10.0,1.0,160.18,1
12967,358.0,2.0,1660.9,0
12968,112.0,1.0,135.95,1
12970,7.0,4.0,452.24,1
12971,4.0,30.0,11189.91,2
12974,198.0,1.0,144.8,0
12976,212.0,1.0,738.6,0
12977,156.0,1.0,39.239999999999995,0
12980,158.0,9.0,7374.900000000001,2
12981,30.0,2.0,372.21999999999997,1
12982,243.0,1.0,390.54,0
12984,19.0,1.0,97.5,1
12985,1.0,2.0,1239.38,1
12987,74.0,2.0,558.7,1
12988,292.0,1.0,535.32,0
12989,3.0,15.0,6924.110000000001,2
12990,31.0,3.0,409.5,1
12991,23.0,2.0,503.76,1
12993,23.0,4.0,414.76,1
12994,4.0,3.0,974.4200000000001,1
12995,85.0,1.0,211.32,1
12997,22.0,4.0,1226.89,1
12999,196.0,3.0,455.88,0
13000,107.0,3.0,534.85,1
13001,4.0,13.0,9818.82,2
13002,318.0,1.0,120.94999999999999,0
13003,106.0,3.0,149.05,1
13004,12.0,18.0,5655.91,2
13005,174.0,2.0,513.7,0
13006,56.0,1.0,81.57,1
13008,323.0,1.0,229.46999999999997,0
13011,369.0,1.0,50.550000000000004,0
13012,9.0,8.0,1661.8400000000001,1
13013,1.0,13.0,4810.9400000000005,2
13014,11.0,10.0,3466.2799999999997,1
13015,53.0,5.0,3346.28,1
13016,73.0,3.0,789.89,1
13017,7.0,1.0,204.0,1
13018,16.0,28.0,7277.7,2
13021,4.0,9.0,2616.38,1
13023,64.0,2.0,689.9,1
13026,1.0,5.0,975.36,1
13027,114.0,6.0,6912.0,1
13028,23.0,2.0,661.3199999999999,1
13029,31.0,3.0,1247.5,1
13030,11.0,2.0,799.48,1
13032,52.0,2.0,1010.18,1
13033,357.0,1.0,190.55,0
13034,55.0,2.0,642.77,1
13035,74.0,2.0,921.88,1
13037,138.0,3.0,881.07,1
13038,80.0,3.0,908.46,1
13040,9.0,2.0,676.99,1
13043,273.0,1.0,516.42,0
13044,291.0,1.0,560.47,0
13045,99.0,1.0,305.28000000000003,1
13046,31.0,2.0,629.31,1
13047,32.0,10.0,3237.54,1
13048,14.0,4.0,1835.91,1
13049,64.0,2.0,656.6800000000001,1
13050,15.0,17.0,5836.86,2
13052,212.0,1.0,348.15000000000003,0
13055,78.0,3.0,1214.41,1
13058,25.0,3.0,271.40000000000003,1
13059,250.0,1.0,183.4,0
13060,254.0,1.0,307.53,0
13061,72.0,1.0,248.61,1
13062,191.0,1.0,346.98,0
13064,13.0,4.0,1119.49,1
13065,369.0,1.0,205.86,0
13066,24.0,2.0,470.8,1
13067,82.0,1.0,115.46000000000001,1
13068,10.0,2.0,344.0,1
13069,1.0,24.0,4436.12,2
13070,192.0,1.0,228.8,0
13072,267.0,1.0,177.15,0
13075,130.0,1.0,919.61,1
13077,1.0,4.0,729.27,1
13078,3.0,26.0,12627.94,2
13079,4.0,5.0,220.10000000000002,1
13080,179.0,1.0,58.08,0
13081,12.0,11.0,19880.99570000001,2
13082,126.0,9.0,3613.63,1
13083,4.0,2.0,303.75,1
13085,158.0,2.0,416.08000000000004,0
13089,3.0,30.0,19880.99570000001,2
13090,9.0,14.0,8910.82,2
13091,28.0,1.0,345.82,1
13092,71.0,5.0,477.83,1
13093,276.0,8.0,7832.47,0
13094,21.0,12.0,1927.3200000000002,1
13095,71.0,1.0,74.39999999999999,1
13097,33.0,10.0,6010.42,1
13098,1.0,28.0,19880.99570000001,2
13099,99.0,1.0,207.35999999999999,1
13101,234.0,1.0,101.19,0
13102,1.0,24.0,6424.09,2
13103,40.0,1.0,243.94,1
13104,3.0,6.0,1098.48,1
13106,133.0,1.0,76.5,1
13107,44.0,4.0,1531.6200000000001,1
13108,369.0,1.0,350.06,0
13109,60.0,2.0,786.54,1
13110,31.0,7.0,1488.67,1
13113,1.0,24.0,12245.960000000001,2
13115,12.0,4.0,2294.78,1
13116,138.0,1.0,501.14,0
13117,22.0,8.0,984.91,1
13118,20.0,5.0,1197.81,1
13120,239.0,1.0,30.599999999999998,0
13121,269.0,1.0,283.73,0
13122,94.0,2.0,922.39,1
13124,90.0,3.0,3866.33,1
13126,5.0,8.0,2099.64,1
13127,78.0,1.0,259.17,1
13130,94.0,1.0,64.0,1
13131,23.0,3.0,1073.3,1
13132,262.0,1.0,77.3,0
13133,274.0,2.0,109.8,0
13134,86.0,4.0,1793.58,1
13135,197.0,1.0,3096.0,0
13136,56.0,5.0,2607.61,1
13137,11.0,8.0,3650.41,1
13138,22.0,6.0,962.39,1
13139,16.0,7.0,5064.94,1
13140,108.0,3.0,423.72,1
13141,85.0,5.0,2388.75,1
13142,19.0,1.0,307.09,1
13144,333.0,1.0,110.95,0
13145,40.0,4.0,618.52,1
13146,26.0,1.0,228.91,1
13147,10.0,4.0,712.8000000000001,1
13148,29.0,12.0,3707.12,1
13149,14.0,4.0,1676.06,1
13151,296.0,1.0,1257.8700000000001,0
13153,6.0,1.0,486.22,1
13155,33.0,4.0,971.76,1
13157,49.0,4.0,1741.22,1
13158,95.0,4.0,1201.06,1
13159,9.0,4.0,1437.85,1
13160,22.0,1.0,91.8,1
13161,313.0,1.0,112.75,0
13162,122.0,4.0,1688.29,1
13165,46.0,2.0,1021.48,1
13166,283.0,1.0,417.2,0
13167,19.0,4.0,791.33,1
13168,36.0,4.0,1319.19,1
13169,64.0,2.0,712.88,1
13170,27.0,1.0,116.00999999999999,1
13171,22.0,3.0,468.41,1
13173,4.0,2.0,353.65,1
13174,16.0,3.0,2817.03,1
13176,46.0,1.0,492.84,1
13177,65.0,1.0,282.45,1
13178,26.0,11.0,5725.47,1
13182,45.0,1.0,121.18,1
13183,8.0,9.0,3957.78,1
13184,15.0,10.0,1701.29,1
13185,268.0,1.0,71.4,0
13186,40.0,3.0,1575.89,1
13187,337.0,1.0,236.02,0
13188,11.0,1.0,114.60000000000001,1
13189,19.0,2.0,260.68,1
13192,95.0,2.0,911.94,1
13193,61.0,1.0,117.88,1
13194,136.0,1.0,60.7,0
13196,11.0,4.0,1797.78,1
13198,10.0,6.0,3401.2400000000002,1
13199,4.0,30.0,9817.12,2
13200,19.0,4.0,870.09,1
13203,10.0,4.0,869.46,1
13207,15.0,2.0,250.26000000000002,1
13208,59.0,6.0,1223.9,1
13209,30.0,8.0,5891.61,1
13210,94.0,1.0,353.48,1
13211,10.0,3.0,1197.42,1
13212,20.0,3.0,788.08,1
13213,57.0,5.0,1520.58,1
13216,268.0,1.0,333.74,0
13217,122.0,3.0,533.98,1
13218,127.0,1.0,62.63999999999999,1
13220,78.0,4.0,819.2900000000001,1
13221,240.0,2.0,847.41,0
13223,200.0,2.0,163.20000000000002,0
13224,60.0,2.0,2155.95,1
13225,3.0,7.0,6463.84,1
13226,273.0,1.0,108.21000000000001,0
13227,202.0,1.0,257.7,0
13228,81.0,1.0,358.0,1
13229,226.0,1.0,160.95,0
13230,4.0,14.0,2806.97,1
13232,13.0,7.0,1357.6,1
13233,74.0,2.0,605.12,1
13235,212.0,1.0,1031.07,0
13236,25.0,2.0,744.85,1
13238,17.0,4.0,700.73,1
13239,262.0,1.0,329.56,0
13240,96.0,4.0,663.65,1
13242,112.0,3.0,270.40000000000003,1
13243,203.0,1.0,600.07,0
13244,93.0,1.0,121.74000000000001,1
13245,51.0,1.0,430.5,1
13246,18.0,6.0,1987.3,1
13247,18.0,4.0,501.12,1
13248,125.0,2.0,465.68,1
13249,92.0,3.0,711.41,1
13253,157.0,2.0,1030.4,0
13255,9.0,2.0,399.51,1
13258,12.0,3.0,698.58,1
13259,62.0,1.0,292.32,1
13260,61.0,1.0,557.62,1
13261,269.0,2.0,944.1,0
13262,263.0,1.0,200.29,0
13263,1.0,30.0,7454.07,2
13265,53.0,5.0,2107.66,1
13266,11.0,12.0,3834.2599999999998,1
13267,3.0,19.0,4521.49,2
13268,18.0,11.0,3214.69,1
13269,1.0,15.0,5346.2300000000005,2
13270,366.0,1.0,590.0,0
13271,37.0,1.0,217.38,1
13272,31.0,2.0,276.56,1
13273,113.0,1.0,138.98,1
13276,64.0,2.0,590.9300000000001,1
13277,16.0,4.0,258.4,1
13278,41.0,1.0,542.73,1
13279,78.0,1.0,137.75,1
13280,122.0,3.0,814.86,1
13282,18.0,3.0,1132.14,1
13283,60.0,2.0,93.66,1
13284,331.0,1.0,201.19,0
13285,23.0,4.0,2709.12,1
13291,156.0,1.0,361.11,0
13292,39.0,2.0,578.9399999999999,1
13294,190.0,2.0,873.74,0
13295,360.0,1.0,201.20000000000002,0
13296,137.0,1.0,87.4,0
13297,8.0,4.0,2089.85,1
13298,1.0,1.0,360.0,1
13299,268.0,1.0,142.5,0
13300,169.0,1.0,371.89,0
13301,104.0,4.0,618.09,1
13302,155.0,1.0,63.75,0
13304,351.0,1.0,300.42,0
13305,4.0,10.0,2000.86,1
13307,120.0,1.0,15.0,1
13308,23.0,3.0,1385.51,1
13309,7.0,5.0,1456.79,1
13310,28.0,3.0,1132.03,1
13311,4.0,2.0,598.57,1
13313,22.0,5.0,1555.32,1
13314,2.0,3.0,775.94,1
13316,37.0,4.0,5977.7300000000005,1
13317,66.0,6.0,2273.68,1
13318,1.0,3.0,640.76,1
13319,5.0,26.0,10845.550000000001,2
13320,78.0,4.0,1548.7,1
13321,72.0,2.0,567.36,1
13322,17.0,1.0,199.48000000000002,1
13323,3.0,5.0,787.85,1
13324,36.0,10.0,7121.95,2
13325,82.0,1.0,675.3,1
13327,39.0,8.0,3627.77,1
13328,316.0,1.0,1308.48,0
13329,32.0,2.0,789.0,1
13330,93.0,3.0,1140.93,1
13332,14.0,1.0,350.9,1
13334,82.0,3.0,3536.82,1
13336,77.0,1.0,795.12,1
13338,158.0,1.0,487.02,0
13339,201.0,1.0,860.12,0
13340,45.0,7.0,10736.48,2
13341,261.0,1.0,775.85,0
13343,178.0,1.0,353.43,0
13344,68.0,3.0,2543.72,1
13345,288.0,1.0,389.5,0
13347,70.0,1.0,341.36,1
13348,64.0,1.0,233.76,1
13349,11.0,1.0,247.32,1
13350,16.0,2.0,979.12,1
13351,66.0,1.0,373.94,1
13352,60.0,1.0,397.97999999999996,1
13354,71.0,1.0,743.53,1
13355,122.0,1.0,674.7,1
13356,80.0,1.0,768.24,1
13357,257.0,1.0,609.95,0
13358,269.0,1.0,439.03,0
13359,64.0,1.0,439.56,1
13362,9.0,4.0,3090.7400000000002,1
13363,18.0,2.0,992.5,1
13364,71.0,1.0,134.95999999999998,1
13365,34.0,2.0,2225.37,1
13366,50.0,1.0,56.160000000000004,1
13368,257.0,2.0,623.4,0
13369,366.0,1.0,308.28000000000003,0
13370,369.0,1.0,754.87,0
13372,90.0,1.0,378.64,1
13373,61.0,3.0,3312.25,1
